1.54104	-11.62837
1.52488	-11.5369
1.50873	-11.44525
1.49257	-11.35353
1.47641	-11.26186
1.46025	-11.17037
1.4441	-11.0792
1.42794	-10.98848
1.41178	-10.89836
1.39562	-10.81029
1.37947	-10.88641
1.36331	-10.96088
1.34715	-11.03369
1.33099	-11.10482
1.31483	-11.17427
1.29868	-11.24203
1.28252	-11.30809
1.26636	-11.37246
1.2502	-11.43512
1.23405	-11.49607
1.21789	-11.55531
1.20173	-11.61282
1.18557	-11.66861
1.16942	-11.72266
1.15326	-11.77499
1.1371	-11.82557
1.12094	-11.87441
1.10478	-11.9215
1.08863	-11.96685
1.07247	-12.01044
1.05631	-12.05227
1.04015	-12.09235
1.024	-12.13066
1.00784	-12.16721
0.99168	-12.20199
0.97552	-12.235
0.95937	-12.26623
0.94321	-12.2957
0.92705	-12.32339
0.91089	-12.3493
0.89473	-12.37343
0.87858	-12.39578
0.86242	-12.41634
0.84626	-12.43513
0.8301	-12.45212
0.81395	-12.46734
0.79779	-12.48076
0.78163	-12.49239
0.76547	-12.50224
0.74932	-12.5103
0.73316	-12.51656
0.717	-12.52104
0.70084	-12.52372
0.68468	-12.52462
0.68468	-12.52462
0.67308	-12.52509
0.66147	-12.52649
0.64987	-12.52882
0.63827	-12.53209
0.62666	-12.5363
0.61506	-12.54144
0.60345	-12.54752
0.59185	-12.55454
0.58024	-12.5625
0.56864	-12.57141
0.55703	-12.58126
0.54543	-12.59206
0.53382	-12.6038
0.52222	-12.61648
0.51061	-12.63011
0.49901	-12.64468
0.4874	-12.66018
0.4758	-12.67661
0.46419	-12.69396
0.45259	-12.71223
0.44098	-12.73139
0.42938	-12.75145
0.41777	-12.77237
0.40617	-12.79416
0.39456	-12.81678
0.38296	-12.84022
0.37135	-12.86447
0.35975	-12.88948
0.34814	-12.91525
0.33654	-12.94173
0.32493	-12.96891
0.31333	-12.99676
0.30173	-13.02524
0.29012	-13.05432
0.27852	-13.08398
0.26691	-13.11417
0.25531	-13.14486
0.2437	-13.17603
0.2321	-13.20763
0.22049	-13.23963
0.20889	-13.27199
0.19728	-13.30468
0.18568	-13.33766
0.17407	-13.37091
0.16247	-13.40438
0.15086	-13.43804
0.13926	-13.47186
0.12765	-13.50581
0.11605	-13.53985
0.10444	-13.57396
0.09284	-13.6081
0.08123	-13.64224
0.06963	-13.67635
0.05802	-13.71041
0.04642	-13.74439
0.03481	-13.77826
0.02321	-13.81199
0.0116	-13.84557
0	-13.87896

0	-8.43126
0.0116	-8.47049
0.02321	-8.50877
0.03481	-8.5461
0.04642	-8.58247
0.05802	-8.61784
0.06963	-8.65221
0.08123	-8.68557
0.09284	-8.71789
0.10444	-8.74917
0.11605	-8.77939
0.12765	-8.80853
0.13926	-8.83658
0.15086	-8.86354
0.16247	-8.88938
0.17407	-8.91409
0.18568	-8.93768
0.19728	-8.96013
